table,id,word,part_of_speech,english_translation,word_length,difficulty_level
"dictionary_ai","c5e458d0-2d80-4945-878e-2b95d0ddf995","Gbèro","v.","to reckon; calculate; intend; deliberate; speculate","5","intermediate"
"dictionary_ai","5b4e188f-33cc-48f9-9657-0e19d782b274","Bujoko","n.","abode; dwelling; seat.","6","intermediate"
"dictionary_ai","06fc112c-df84-4ea6-be40-70986c67e2cc","Buwókùn","v.","to lessen the price or value; to depreciate.","7","advanced"
"dictionary_ai","9c6a5f0a-2ab5-445d-bafe-0e1080504720","Dahun fun","v.","to be responsible for; represent; answer for.","9","advanced"
"dictionary_ai","21e1706f-28f1-4af0-8919-6c76e3d6d8cb","Dakọ (Da-ẹkọ)","v.","to buy agidi (corn starch, cooked).","13","advanced"
"dictionary_ai","1c763f3e-7288-4b7e-be05-34cf502cadaf","Búrúbúrú","adv.","humbly; closely (used with “sapamọ,” to hide).","8","advanced"
"dictionary_ai","6c5d162a-ca61-4c74-b48d-080a76a8b840","Dálu","v.","to bore; make a hole through.","4","easy"
"dictionary_ai","5c99d94b-04c6-4c08-ac4f-2598a64101a4","Daniniyemeji","adj.","doubtful; uncertain. v. to create doubt in the mind.","12","advanced"
"dictionary_ai","5a9b441a-9758-47f2-9261-be1970e5e576","Dari . . . si, Darisi","v.","turn towards; tend to; prone to.","21","advanced"
"dictionary_ai","0889667c-01e3-46f8-89ec-39f2d0e307ca","Daṣakaṣa","v.","to adopt a new fashion thoughtlessly or recklessly.","8","advanced"
"dictionary_ai","d3cdf551-6162-4b84-ae19-b26e1ef4f0ff","Da . . . lọrun","v.","to have a longing for; to long for.","14","advanced"
"dictionary_ai","55d159e1-a9df-464c-9274-bdfe3c340da8","Dẹrupa (da-ẹru-pa)","v.","to cause to feel the weight of.","18","advanced"
"dictionary_ai","9ec5fc12-b1e9-4217-99f7-0dcaa6885a16","Diẹ","adj.","few; some; little; adv. awhile.","3","easy"
"dictionary_ai","b988a11c-a74f-4460-81e6-878a776fc0ac","Di . . . leti","v.","to prevent from hearing; deafen; cause to be deaf.","13","advanced"
"dictionary_ai","f8811b95-6db9-443d-bddb-280caa05173a","Dẹdẹ","adj.","very soft. adv. deep, as applied to colours.","4","easy"
"dictionary_ai","34c7a0e3-5679-4c84-9c32-7694bdbbccc2","Dipọ̀","a.","congealed; coagulated. v. to adhere; congeal; tie together; bind.","5","intermediate"
"dictionary_ai","8c11c041-78fa-40b3-899b-f04c9802064f","Dumbu","v.","to kill by cutting the throat; decapitate.","5","intermediate"
"dictionary_ai","a1cab3d4-c95a-45ee-9a46-1ed6eabbba7b","Èbo, Àbo, Èdi","n.","the act of binding or tying.","13","advanced"
"dictionary_ai","e25c752d-ff23-4f03-8ef8-e2db45634584","Efinrin-wẹwẹ, Efinrin-ata","n.","another species of Efinrin, having smaller leaves; mint.","25","advanced"
"dictionary_ai","dc75df08-1b8b-48a8-814b-aff3a9e2c7fe","Dọpọ","v.","to offer low price for goods.","4","easy"
"dictionary_ai","caebb434-6eaf-45f3-9542-3d046acb8fd3","Èlè","n.","iron; instruments made of iron; weapons; sword. The cry of “Èlè” denotes “All to arms.”","3","easy"
"dictionary_ai","051aaee4-f7f7-4f57-9c51-7fcdd4b9cbab","Emimọ́, Èmọ́","n.","the seeds of a wild shrub which adhere to clothes.","12","advanced"
